"id","filename","language","ground_truth","type","source","notes"
1,"en_sample_000.wav","en","however due to the slow communication channels styles in the west could lag behind by 25 to 30 year","clean","huggingface","FLEURS en_us"
2,"en_sample_001.wav","en","all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence","clean","huggingface","FLEURS en_us"
3,"en_sample_002.wav","en","to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron","clean","huggingface","FLEURS en_us"
4,"en_sample_003.wav","en","the cabbage juice changes color depending on how acidic or basic alkaline the chemical is","clean","huggingface","FLEURS en_us"
5,"en_sample_004.wav","en","many people don't think about them as dinosaurs because they have feathers and can fly","clean","huggingface","FLEURS en_us"
6,"en_sample_005.wav","en","the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others","clean","huggingface","FLEURS en_us"
7,"en_sample_006.wav","en","the northern marianas emergency management office said that there were no damages reported in the nation","clean","huggingface","FLEURS en_us"
8,"en_sample_007.wav","en","twentieth century research has shown that there are two pools of genetic variation hidden and expressed","clean","huggingface","FLEURS en_us"
9,"en_sample_008.wav","en","the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2","clean","huggingface","FLEURS en_us"
10,"en_sample_009.wav","en","as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times","clean","huggingface","FLEURS en_us"
11,"es_sample_000.wav","es","se recomienda enfáticamente a los viajeros que se informen sobre cualquier riesgo de clima extremo en el área que visitan dado que ello puede afectar sus planes de viaje","clean","huggingface","FLEURS es_419"
12,"es_sample_001.wav","es","el uso adecuado de los blogs «puede empoderar a los alumnos para que sean más analíticos y críticos a través de la respuesta activa a los contenidos de internet pueden definir sus posturas en el contexto de los escritos de otros además de establecer sus perspectivas sobre temas específicos» oravec 2002","clean","huggingface","FLEURS es_419"
13,"es_sample_002.wav","es","fue tanta la cantidad de gente que se concentró que no todos pudieron acceder al funeral en la plaza de san pedro","clean","huggingface","FLEURS es_419"
14,"es_sample_003.wav","es","esto parece tener sentido ya que en la tierra no se percibe su movimiento ¿cierto?","clean","huggingface","FLEURS es_419"
15,"es_sample_004.wav","es","carpanedo participó en dos carreras individuales del campeonato aparte de la competencia del miércoles","clean","huggingface","FLEURS es_419"
16,"es_sample_005.wav","es","hoy en día las personas escriben mensajes en las pantallas de sus computadoras no tienen la necesidad de siquiera aproximarse a un sacapuntas","clean","huggingface","FLEURS es_419"
17,"es_sample_006.wav","es","los luchadores compañeros de luna también le rindieron homenaje","clean","huggingface","FLEURS es_419"
18,"es_sample_007.wav","es","duvall que está casado y tiene dos hijos adultos no causó una buena impresión a miller que fue a quien le relató la historia","clean","huggingface","FLEURS es_419"
19,"es_sample_008.wav","es","entre los fenómenos climáticos regionales y estacionales extremos encontramos los ventarrones las tormentas de nieve hielo o polvo","clean","huggingface","FLEURS es_419"
20,"es_sample_009.wav","es","se puede definir a una civilización como una cultura específica de la que forma parte un extenso grupo de personas que viven y trabajan en conjunto es decir una sociedad","clean","huggingface","FLEURS es_419"
